stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,ports_total
NYC FLEET / DCAS_1CENTRE-S1,1 Centre St,New York,New York,10007,40.712931,-74.003748,Level 2,Level 2 - Solar,CT4010-HD-GW,1
NYC FLEET / DCAS100GLD_5_L3,100 Gold St,New York,New York,10038,40.710384,-74.00313,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DCAS100GLD_4_L3,100 Gold St,New York,New York,10038,40.710506,-74.003265,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DOB_BRDWY_1_L3,280 Broadway,New York,New York,10007,40.71435605,-74.0053337,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DOT_WHTHLLFRY-1,1 South Street,New York,New York,10004,40.7010215,-74.01338338,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-7,39 South Street,New York,New York,10004,40.70301592,-74.00807908,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-8,39 South Street,New York,New York,10004,40.70303273,-74.00800771,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-9,39 South Street,New York,New York,10004,40.70303509,-74.00812517,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-10,39 South Street,New York,New York,10004,40.70296993,-74.00821361,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-1,39 South Street,New York,New York,10004,40.70285095,-74.00811662,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-2,39 South Street,New York,New York,10004,40.70291431,-74.00798043,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-3,39 South Street,New York,New York,10004,40.70298789,-74.00810182,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-4,39 South Street,New York,New York,10004,40.70289576,-74.00803476,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-5,39 South Street,New York,New York,10004,40.70286213,-74.00814232,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLIP-6,39 South Street,New York,New York,10004,40.70282794,-74.00818438,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DOT_OLDSLP_5_L3,39 South Street,New York,New York,10004,40.70300651,-74.00812281,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DOT_OLDSLP_6_L3,39 South Street,New York,New York,10004,40.70287834,-74.00805847,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DOT_OLDSLP_4_L3,39 South Street,New York,New York,10004,40.70289055,-74.00839703,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DOT_OLDSLP_3_L3,39 South Street,New York,New York,10004,40.70293356,-74.00832826,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DOT_OLDSLP_2_L3,39 South Street,New York,New York,10004,40.70303821,-74.00816705,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DOT_OLDSLP_1_L3,39 South Street,New York,New York,10004,40.70301571,-74.00824811,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / NYCHAALSMITH02,3 St. James Pl,New York,New York,10038,40.709938,-73.99973,Level 2,Level 2,CT4020-HD2-GW-LTE,2
NYC FLEET / DCAS100GOLD,100 Gold St,New York,New York,10038,40.710358,-74.00305,Level 2,Level 2,CPF25,1
NYC FLEET / NYCHAALSMITH_S1,3 St. James Pl,New York,New York,10038,40.70972622,-73.99987062,Level 2,Level 2 - Solar,CT4010-HD2-GW-LTE,1
NYC FLEET / DCAS100GLD_3_L3,100 Gold St,New York,New York,10038,40.709984,-74.00402,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DCAS_1CNTR_1_L3,1 Centre St,New York,New York,10007,40.71275099,-74.00346092,Level 3,Level 3,CPE250C-500-CHD-CCS1,1
NYC FLEET / DCAS100GLD_1_L3,100 Gold St,New York,New York,10038,40.711315,-74.004845,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DCAS_1CNTR_2_L3,1 Centre St,New York,New York,10007,40.712532,-74.003426,Level 3,Level 3,CPE250C-500-CCS1-CHD,1
NYC FLEET / DCAS100GLD_2_L3,100 Gold Street,New York,New York,10038,40.710407,-74.00269,Level 3,Level 3,CPE250C-500-CCS1-CHD,1

